===========================================================================
会议逐字稿
===========================================================================
会议主题：新媒体课程需求调研（董先生）
会议时间：2026年7月7日 15:00 - 15:32（约32分钟）
参会人：唐文莉(糖心莉)、董先生
会议号：615738176
===========================================================================

[00:30] 董先生：那是之前你知道？系系。
[14:47] 董先生：呃，测评类的视频去把它去做一做，就开始去探索这个东西。呃，就是先把这个人在这个区域里面销售出去，对应成交转化可能会快一点。

[14:49] 唐文莉(糖心莉)：嗯嗯嗯。嗯嗯嗯，好。

[15:01] 董先生：然后我现在要做的就是在是因为我们客户也多嘛，微信里面好友也多，就是在视频号开始想去在视频号做一下，更一下视频号，然后你所有的在小红书……

[15:15] 董先生：呃，来的客户其实最终还是加到微信里面，在微信里面，其实通过视频号去营销一下他们之类的。就现在不知道这个方向对不对，我就这两个月一直在想这个事情。

[15:22] 唐文莉(糖心莉)：嗯嗯。好了解，嗯，唉，因为我们整个课程的话大概是2.5~3个小时哈，就是来来看这一段学习的时间哈，就是你最希望带走什么？比，比如说你刚才说到就是从第一个阶段不露脸到现在，其实露脸，然后希望给到一些叫什么测评类的一些内容，对吧。你想基于这个方向，是希望在这三个小时之后能够带走一套，比如说这种测评类内容的一个模板？还是说你刚才也说到，从销售产品到销售人啊，学到自己这个销售自己的这个IP定位的一个方法？还是说你希望现场能够剪辑出一套或者说一个测评类的视频内容？还是其他什么。就是你希望这两个半小时到三个小时的时间你最希望带走的一样东西是什么？呵呵。或者多个。

[16:26] 董先生：首先就是呃，就是我我大概理解你意思，第一个就是呃，如果能发掘到在其他城市……

[16:32] 唐文莉(糖心莉)：嗯嗯。

[16:38] 董先生：做这个类似的账号能做出来的啊，就是他对做这个就是能证明做这个事情是有用的。这个因为现在就很矛盾，自己要做这个事情，因为耗时会很多，但不确定有没有用啊，就是这个没有没有自己坚定的。首先就是找一个答案，做这做这个什么这个方向行不行啊？就想想了解一下这个。第二个呢，如果如果如果这个东西行的话啊，就是呃，它的逻辑是什么？测评从哪开开始，比如说是开发商拍地啊，到卖什么货的，开发商为什么拍这块地，拍的地多少钱。呃，就是它整一个结构就是结构怎么拍，我会按照这个流程去做。

[16:40] 唐文莉(糖心莉)：嗯嗯。测评类的是吧？嗯。嗯。嗯。嗯。嗯嗯。嗯。

[17:25] 唐文莉(糖心莉)：现场最好能自己学做一下是吧？资料从哪里来，然后内容怎么排编排，然后怎么把这个内容发出去？

[17:35] 董先生：对对，就是比如说我现在也在尝试做一些长视频，有十几分钟去去把这个小区的区域沙盘，样板房全部拍一遍，优缺点简单讲一下。

[17:49] 董先生：嗯，就我感觉不够深入，所以我要想，如果这个事儿是可以做的，肯定要再去深入一下。他要讲哪些东西是用户爱听的，他有一个，比如说有一个SOP先讲他从开发商拍地啊，什么时候开盘卖了多少货，然后呢，他的优点是什么？缺点是什么？哎，有一套整体的这标准化，那你拍一个你懂了，按照标准流程去做。哎，这个东西如果能做成，它又是可复制化，你们以后就按照这个模板去拍，讲这些东西。那那现在要的就是一个就是这个事儿……

[17:57] 唐文莉(糖心莉)：嗯嗯。嗯嗯嗯。嗯。

[18:16] 唐文莉(糖心莉)：嗯嗯。嗯嗯。

[18:27] 董先生：能不能做，就是能做了之后有没有结果，然后第二个呢就是呃怎么做，这个流程是怎么样的？

[18:32] 唐文莉(糖心莉)：嗯嗯嗯哎，您能帮我解释一下您刚才说的测评类的这样的一个视频内容，测评是测评开发商的这个房屋质量土地啊，还是说帮助消费者去测评，比如说他买卖二手房也行，就是测评类的这个指的是什么？

[18:53] 董先生：嗯，因为我做我们团队都是做新房比较多，我们想做的测评类的就是测评这个呃新房的呃优缺点啊，就是帮现在的用户呢。我看你像以前拍视频，哎，你去开发商这里拍个样板房，简单讲讲，哎，这房子很不错，看房。

[19:00] 唐文莉(糖心莉)：嗯嗯。嗯嗯。嗯嗯。嗯嗯。

[19:17] 董先生：留联系方式，他可能就跟你联系了。但现在不一样了，现在用户呃，我通过各种渠道都能获取到这些信息，楼盘的资料啊，太详细了啊，问一下AI都很清楚。但是用户更想知道的可能就是这个楼盘有什么黑料，我是在网上找不到的啊，我应该注意什么事项，这些是我不知道的。开发商有什么背景，会不会爆雷啊？在以前卖了多少钱，现在卖多少钱啊？他他未来会涨价还是降价？他有什么配套？是画饼的还是现成的？这些未知的东西，我们通过视频把它做出来，很中肯的告诉用户，哎，你怎么样怎么样。甚至我最近也在想……

[19:25] 唐文莉(糖心莉)：嗯嗯嗯嗯。

[19:39] 唐文莉(糖心莉)：嗯嗯嗯。嗯嗯嗯。嗯嗯嗯嗯嗯。

[19:59] 董先生：啊，比如说你会教他教他这个，这个小区里面有100方的啊，有200方的，有300方的，你买100方的，你应该选一栋二栋，因为三栋四栋100方的是望着望着大马路或者望着变电房，或者未来有规划。你要是买200方的，你应该买几栋几栋。哎，这样子的话呢，就是帮客户去做一个真正的决策。对，因为客户现在他通过各种渠道获取信息过载啊，需要这么一个人去帮他分析啊。但是如果你把一个楼盘讲理的头头是道，优点缺点都讲出来，然后呢又把这个……

[20:17] 唐文莉(糖心莉)：决策。嗯嗯。嗯嗯。

[20:36] 董先生：呃，他怎么选都教都告诉他都教会他，哎，我觉得我买房路上需要这一个人，我可能这个楼盘不合适，那个楼盘我希望你带我去，你帮我选。

[20:44] 唐文莉(糖心莉)：嗯嗯嗯。嗯嗯。

[20:48] 董先生：就是目前我我最近一个月可能都在想这个事情，但是还没有开始去做，就是我猜测这个东西可能会……

[20:55] 唐文莉(糖心莉)：嗯嗯。

[20:59] 董先生：有用。

[20:59] 唐文莉(糖心莉)：是下一个流量的这个？叫爆点还是什么？就是引流的一个内容？

[21:05] 董先生：啊，就是他可能他可能不会有那种以前做视频的流量那么大，但是如果通过这种视频来找到你的客户，你转化会比较高。因为你他相信你是一个专业的人，靠谱的人，你能帮我做决定的人，他会把这个东西交给你，而不是怀疑你。现在你通过一个房子来一个客户啊，你说这里去地铁口800m好，他听了，但是我要走一遍，你这个人会不会骗我，我要去实地考察一下。但如果通过评测来的，我觉得……

[21:11] 唐文莉(糖心莉)：嗯嗯。嗯嗯嗯。

[21:31] 唐文莉(糖心莉)：嗯嗯嗯嗯嗯嗯嗯。

[21:37] 董先生：他很相信你，就好像以前我干干直播的时候啊，你跟他说500m他就相信，深信不疑啊，500m就是500m，我不会再去尝试，不会对你有质疑。

[21:49] 董先生：嗯，就就不知道现在。我们有没有这些老师啊，或者什么在做类似的？

[21:56] 唐文莉(糖心莉)：嗯嗯嗯嗯，好了解。哎，你你在城市或者说你之前听到的一些刷到的一些视频号有没有，你觉得好像跟你这个比较接近的，或者说需求比较接近的平台上的这个新媒体的老师……

[22:14] 唐文莉(糖心莉)：特别想学的。

[22:16] 董先生：暂时的还（笑声）还没有看到，就是因为我有时候我会刷到一些就是那些房产教学的呀，他们也要提，呃，要拍一些房产测评啊。呃，就是后面我我我本来7月份就打算去报课的，就是看到他有一个老师……

[22:18] 唐文莉(糖心莉)：还没有（笑声）。

[22:40] 董先生：呃，忘记是好像天津的那个聚金行吗？还是什么呃，他说要发要做楼盘评测，哎，我感觉跟我这个想法也也挺，我也挺认同他这个这个说法。

[22:52] 唐文莉(糖心莉)：天津的。天津的经纪人经课堂还是什么？

[22:58] 董先生：嗯，就是不是贝壳的，就是他是外部的，就专门搞这个学员的嗯。

[23:02] 唐文莉(糖心莉)：好的好的好的行，我知道了。

[23:07] 董先生：但是我没有看过，也没有看到他的呃，就是成功的案例啊，就是他是他也讲嘛，他也在分享，说可以做类似的内容评测的，呃，结合我自己自己想想，我感觉可能这样的内容是OK。

[23:14] 唐文莉(糖心莉)：嗯嗯。嗯嗯嗯。了解了解，嗯，哎，我昨天聊了一个呃，也是咱四营的一个伙伴哈学员哈，然后他跟我说他跟我跟说的需求跟你完全不一样。他说他不缺客户，平台给他很多商机，他要做的是门店品牌的一个外宣，也就是说新媒体的渠道，他希望把自己日常在怎么日常……

经纪人大概服务的一些细节啊，能够给到社区知道我。我觉得他应该是想通过自媒体做品牌，所以你这个其实是想通过新媒体来获客吗？还是也是，其实是想把你们服务或者说帮客户做决策的这些呃内容能够外显给更多的这个消费者或者客户业主看到。

[24:21] 董先生：哦，他可能想做的跟我做的有点不一样。他做的是，比如说门店的，门店的IP，我我这个做的是个人的IP。

[24:29] 唐文莉(糖心莉)：嗯嗯嗯，了解，那那确实是嗯。

[24:33] 董先生：对他。他就想把，就是我们应该是有一个，我看江西那个江迪辉还是什么，呃，那个人他就是做的门店的那种IP嘛，他他的用户可能就是对，除了对客户之外更多的他对对一些经纪人，但是他也会有客户，他把他团队展现出来这种这种他可能想要的是这种。但是跟我的需求不太一样，我我要的可能就是让让这个区域的人他买房，不知道怎么选的时候呢，他会选择选择我这个选择我这个人，他觉得你这个人……

[24:56] 唐文莉(糖心莉)：嗯。

[25:12] 董先生：呃，专业也好，踏实也好，实在也好，他觉得你可以帮助到他。因为现在我们可能做的新房比较多，整个市场呢也比较卷啊，返佣啊，各种各样的东西都会出来。

[25:25] 唐文莉(糖心莉)：嗯嗯。

[25:27] 董先生：呃，如果你是没有一个IP的在这里的话呢，就用户觉得我跟谁买都是买嘛，就是你为什么你赚我那么多钱，人家还说返我5万呢，你为什么不返对吧，他可能会有这种这种东西在。就会遇到这种东西，但如果你是有一个……

[25:46] 董先生：个人IP在的话，我就只找你买啊，就是就是他不会给你提这些东西。我们最近呃，像我的话，我可能我的一些客户他不会跟我提到这些东西，因为我会把我的……

[25:47] 唐文莉(糖心莉)：嗯嗯嗯嗯嗯嗯。

[25:59] 董先生：这些奖杯啊，背书啊，我说我是老师啊，什么都发给他看，我这些都都是我教出来的啊，就是他就会认可。但是你同事可能他呃做不到这样，但是他如果通过自媒体这样去打造，他也其实可以打造出来，他有这样的IP他对于他的成交就我们也有客户，但是转化低了，转化低了，你没有IP的话，你转化会比较低，你先把每个人的IP做一下。

[26:02] 唐文莉(糖心莉)：嗯嗯。嗯嗯。嗯嗯。嗯嗯。嗯嗯嗯。嗯嗯，哎，我有一个问题想请教董老师哈，就是你看昨天那个伙伴，他其实现在是想打造门店IP，他给我的大概的解释是因为打造门店IP之后再去彰显这个门店下面的经纪人这样的，他作为店东比较有安全感。但是我听你的这个意思好像是希望把自己的IP个人IP以及经纪人的这个IP打造出来，那如果说打造了个人的IP，他跟门店的IP，或者说门店的这种呃，关系是什么呢？会不会担心就是下面的经纪人的IP都出来之后，其实作为店东而言，就是好像把控力没有那么强了，呵呵呵。

[27:12] 董先生：嗯，会会这个这个在任何时候做自媒体都会。但是我我现在就是不是这么看的，以前我会呃，就是也也会有，就是有一些同事……

[27:16] 唐文莉(糖心莉)：嗯。嗯。

[27:28] 董先生：过来学嘛，学了之后就他也不是真心来你这里干，可能觉得你干得不错，过来一段时间，然后就就回去了，就跑了。呃，我觉得这个其实做做IP呢，你店东一定要亲自下场做一个强IP，然后带动同事呢，他们也做个人的IP，就是他们肯定没做你这么强嘛啊，他们也会有一个小的IP，就是相当于是弱IP。呃，他做起来之后，他他在这个团队里面……

[27:32] 唐文莉(糖心莉)：嗯。嗯。嗯。嗯。

[28:00] 董先生：哎，能赚到钱啊，他也不会走。你看我们现在感觉这人还是稳定的，而且再一个呢，自媒体变化是特别快的，你今天离开了我这里可能短期内还行。

[28:17] 董先生：但是多人在这里一个渠道，大家是抱团取暖，有什么东西是共享的。就好像最开始做抖音，有人学完就走了，学完就走了，他做抖音可能有一阶段还行，后面视频号的风口来了，小红书的风口来了，他就抓不住，他就抓不住。但是我们在这个这个这里呢，可以可以，大家一起去……

[28:25] 唐文莉(糖心莉)：就是那种。嗯。嗯嗯。

[28:40] 董先生：我感觉我做自媒体做了几年啊，还是吃到了，吃到了风口上的红利。就多多人在这里，他有些人慢慢在我们这里时间长了也也会看明白，有些你可能……

[28:44] 唐文莉(糖心莉)：嗯嗯嗯嗯嗯。

[28:54] 董先生：能获客，但是你转化也是一个问题。在这一个团队里面是好过个人干的啊，所以我现在也不担心我，我还是比较有信心，我们这个团队里面如果真的要走……

[29:00] 唐文莉(糖心莉)：嗯嗯嗯。

[29:07] 董先生：呃，也也是接受的，就不不太会。

[29:09] 唐文莉(糖心莉)：嗯嗯嗯嗯嗯嗯嗯嗯，所以在你的理解里面，其实如果现在有一个选择说建立个人IP还是团队IP的话，你会首先选个人IP，因为，呃，这个个人IP如果是电动自己来做的话，首先你会做成一个强IP。第二个是，嗯，你做成了强IP之后，可以带动门店的很多其他的一些经纪人或者说经纪人来加入建立个人IP的这个行列，大家信息是共享的，然后在这样的环境之下，它其实整体的门店的这种实力是会更强的。所以不会说今天会有一个选择说，哎，我好像是不是要把这个团队的IP打造打造起来，这个好像是，就是不需要去事先去考虑的，就在你的理解里……

[29:52] 唐文莉(糖心莉)：是可以这样。

[29:57] 董先生：对，因为你团队你打造团队IP我觉得是是更难，现在你看呃……

[30:00] 唐文莉(糖心莉)：嗯嗯。嗯。

[30:04] 董先生：大部分做的好的肯定都是自己先跑出来先跑出来，然后带着下面的同事去做，他的IP还是最强的，电动一定是亲自下场的，你这才是最稳的。

[30:08] 唐文莉(糖心莉)：嗯。嗯。嗯。嗯嗯嗯哎，有没有那种店都没上场，但是经纪人IP做起来之后还能继续在门店里做得很好的。

[30:29] 董先生：这很少吧，要么他他肯定也是股东了，不然的话是吧，他你你因为你看我我我其他地方我不知道，都是在我们这个区域。

[30:31] 唐文莉(糖心莉)：很少嗯嗯。很少嗯嗯。对。嗯嗯。

[30:41] 董先生：好多就是这样的，老板给他买设备给他报课，然后学会了之后他说我跟这个店没有共同语言，那这这这店都不搞的，不会的，我要自己开个店或者他去另外一个店啊。我来我们店的都有几个啊，他那他老板觉得也对他很好啊，也给他报课给他买设备啊，他说我跟老板没有共同语言，老板老板不会搞。

[30:46] 唐文莉(糖心莉)：嗯嗯嗯。嗯嗯。嗯嗯。嗯嗯。

[31:07] 唐文莉(糖心莉)：嗯，了解了解。好，所以嗯，跟您您说有半个小时时间给我也差不多半个小时了，然后我大概整理一下您的想法。其实我理解下来，您核心的想法就是在帮消费者决策的这样的一个方向之下，怎么去在个人IP之下产出一些比较实质的一些内容，对吧？就是希望能够通过这至少两个半个小时的这个时间，能找到这样的一个，呃，在你这个方向之下已经产出结果的这个这个这个这个这个店东或者说呃，实际在案例，然后然后把他们的这个案例找到，然后第二个看他是怎么做的，然后……

案例。

好，把这个流流程步骤，然后一套内容的这个模板拿到，然后现场能够操作一条对吧，就是，然后您您可能会去实践，嗯。

[31:54] 董先生：嗯。对对对。

[31:59] 唐文莉(糖心莉)：嗯嗯，好呀好呀，行，那我再整理一下，然后后面有什么其他不懂的再问您就不耽误您现在时间了，等一下4点还要出去。好行，谢谢董老师啊！

[32:08] 董先生：好嘞好嘞好嘞好！打啦打啦打。嗯，拜拜好嘞！

===========================================================================
逐字稿结束（总计约32分钟，153段对话）
===========================================================================
